srno,topic,type,question,option1,option2,option3,option4,correct_option_text,as_response,preethi ma'am response_as,mg_response,preethi ma'am response_mg,correct_option,predictions
989,Depression,Diagnostic,What type of discrimination is linked to increased depressive symptoms across various social status groups?,Workplace discrimination,Chronic everyday discrimination,Major lifetime discrimination,Discrimination based on age,Chronic everyday discrimination,Y,Y,Y,Y,2,3
990,Anxiety,Preventive,What type of intervention could help reduce emotional distress among college students during crises like the COVID-19 pandemic?,Social media engagement,Virtual therapy,Outdoor recreation,Indoor activities,Virtual Therapy,Virtual Therapy,Ans- Virtual therapy,Virtual Therapy,Y,2,1
991,Depression,Factoid,What aspect of quality of life was notably affected in adults with cerebral palsy at least 25 years after undergoing selective dorsal rhizotomy compared to their peers?,Sleep quality,Physical functioning,Anxiety levels,Cognitive performance,Physical functioning,Y,Y,Y,Y,2,2
992,Depression,Prognostic,What role does cognitive behavioral therapy (CBT) play in the treatment of psychological issues related to infertility?,Enhances social connections,Increases physical health,Decreases financial burdens,Improves pregnancy rates,Improves pregnancy rates,Y,Y,Y,Y,4,3
993,Depression,Prognostic,How do lower fractional anisotropy measures in specific white matter tracts correlate with subthreshold hypomania severity in non-bipolar individuals?,Predict worsening severity,Suggest improvement,Have no relation,Indicate stability,Predict worsening severity,Y,Y,Y,Y,1,1
994,Depression,Diagnostic,What are the inflammation-related proteins hypothesized to be associated with in mood disorders?,Symptom alleviation,Cognitive resurgence,Pathophysiology,Social functioning,Pathophysiology,Y,Y,Y,Y,3,3
995,Depression,Preventive,What strategies can be implemented to address stress that mediates the relationship between residential environment satisfaction and feelings of depression in the elderly?,Encouraging isolation,Improving environmental design,Increasing noise levels,Reducing medication use,Improving environmental design,Y,Y,Y,Y,2,2
996,Depression,Diagnostic,What are the potential underlying factors contributing to depressive symptoms observed in patients undergoing isotretinoin therapy for acne?,Stress from acne,Lack of social support,Hypervitaminosis A,Histamine intolerance,Hypervitaminosis A,Y,Y,Y,Y,3,3
997,Depression,Preventive,Which factor is highlighted as potentially improving persistence in duloxetine therapy for major depressive disorder?,Psychiatric therapy,Lifestyle changes,Lower initial dose,Higher initial dose,Higher initial dose,Y,Y,Y,Y,4,4
998,Depression,Prognostic,What effect does the Salicornia europaea L. extract have on the levels of dopamine in mice with depression-like symptoms?,Decreases dopamine levels,Increases serotonin levels,No effect on dopamine levels,Increases dopamine levels,Increases dopamine levels,Y,Y,Y,Y,4,3
999,Depression,Preventive,Which approach is suggested to enhance maternal caregiving behavior in substance-using mothers?,Cognitive-behavioral therapy,Family therapy,Mindfulness training,Attachment-based intervention,Attachment-based intervention,Y,Y,Y,Y,4,2
1001,Depression,Preventive,What should community-based programs focus on to improve life quality among older adults in home care?,Treating depressive and anxiety symptoms,Increasing physical activity,Reducing chronic medical illnesses,Providing financial assistance,Treating depressive and anxiety symptoms,Y,Y,Y,Y,1,4
1002,Depression,Prognostic,How does the presence of peer tobacco users affect the relationship between depressive symptoms and tobacco product use among young adults?,Reduces associated health risks,Increases the amount of tobacco consumed,Decreases impulse buying,Enhances social support networks,Increases the amount of tobacco consumed,Y,Y,Y,Y,2,4
1003,Depression,Preventive,Which intervention strategy is advised to support individuals with chronic fatigue syndrome in managing their condition?,Strict bed rest,Activity pacing,Cognitive dissonance therapy,Complete physical inactivity,Activity pacing,Y,Y,Y,Y,2,3
1004,Depression,Preventive,What aspect of affective experience should be targeted to help reduce depressive symptoms in caregivers?,Enhance physical health,Lower caregiving stress,Increase positive affect,Increase sleep duration,Increase positive affect,Y,Y,Y,Y,3,1
1005,Depression,Preventive,How can the frequency of visits from adult children impact the depression levels in older adults caring for grandchildren?,Decrease physical health,Have no effect,Increase positive feelings,Increase anxiety,Increase positive feelings,Y,Y,Y,Y,3,3
1006,Depression,Factoid,Among mothers of children with which condition were the highest levels of depression symptoms reported?,Type 1 Diabetes,Autism Spectrum Disorder,Typically Developed Children,Attention Deficit Disorder,Autism Spectrum Disorder,Y,Y,Y,Y,2,2
1007,Depression,Diagnostic,What brain area showed reduced serotonin transmission linked to depression-related suicide?,Amygdala,Dorsolateral prefrontal cortex,Hippocampus,Ventrolateral prefrontal cortex,Ventrolateral prefrontal cortex,Y,Y,Y,Y,4,2
1008,Depression,Prognostic,How might the stability of premenstrual dysphoric disorder (PMDD) over 48 months impact its treatment strategies?,Suggesting a focus on long-term management,Recommending immediate hospitalization,Indicating the need for short-term interventions,Promoting exclusively herbal treatments,Suggesting a focus on long-term management,Y,Y,Y,Y,1,2
1009,Depression,Preventive,Which mental health factor mediates the relationship between pregnancy loss and suicidal behavior among adolescent girls?,Depressive mood,Self-esteem,Anxiety,Trauma,Depressive mood,Y,Y,Y,Y,1,4
1010,Depression,Preventive,What therapeutic approach might benefit from fostering mystical experiences in psychedelic-assisted therapy?,Cognitive Behavioral Therapy,Exposure Therapy,Psychodynamic Therapy,Psychedelic-assisted Therapy,Psychedelic-assisted Therapy,Y,Y,Y,Y,4,2
1011,Depression,Diagnostic,What clinical features were identified as key predictors for classifying mixed depressive states?,"Mood reactivity, irritability, and psychomotor agitation","Insomnia, poor appetite, and social withdrawal","Anxiety, depression, and substance use","Sleep disturbance, fatigue, and hopelessness","Mood reactivity, irritability, and psychomotor agitation",Y,Y,Y,Y,1,3
1012,Depression,Preventive,How might addressing alexithymia in patients with fibromyalgia and chronic migraine help mitigate psychological distress?,By promoting social interactions,By prescribing medication adjustments,By increasing physical fitness,By enhancing emotional awareness,By enhancing emotional awareness,Y,Y,Y,Y,4,2
1013,Depression,Diagnostic,Which measure is proposed as a biomarker predicting treatment response to SSRIs in patients with depression?,Loudness Dependence of Auditory Evoked Potential,Response Time to Treatment,Neurotransmitter Levels,Cognitive Behavioral Score,Loudness Dependence of Auditory Evoked Potential,Y,Y,Y,Y,1,3
1014,Depression,Diagnostic,What factors may contribute to antihypertensive medication nonadherence among black men dealing with depression?,Increased physical activity,Higher income levels,More social support,Greater depressive symptoms,Greater depressive symptoms,Y,Y,Y,Y,4,3
1015,Depression,Prognostic,What is the potential association between the use of duloxetine during pregnancy and the occurrence of elective abortions?,Decreased risk,Uncertain association,No association,Increased risk,Increased risk,Y,Y,Y,Y,4,4
1016,Depression,Preventive,What strategies can be employed to alleviate the care burden experienced by family caregivers of ALS patients?,Encourage caregiver's respite care,Reduce patient's functional limitations,Increase caregiver's social support,Promote caregiver's mental health,Increase caregiver's social support,Y,Y,Y,Y,3,1
1017,Depression,Factoid,Which factor was identified as the strongest predictor of lower maternal attachment among Latina mothers?,Quality of partner relationship,Pregnancy intention,Maternal education level,Depressive symptoms during pregnancy,Depressive symptoms during pregnancy,Y,Y,Y,Y,4,1
1018,Depression,Prognostic,How might the fluctuation of depressive symptoms in community-residing older adults impact the long-term mental health strategies needed for this population?,Suggests that no intervention is necessary,Indicates a need for continuous mental health monitoring,Shows that depression is only a temporary issue,Implying older adults will always improve,Indicates a need for continuous mental health monitoring,Y,Y,Y,Y,2,4
1019,Depression,Factoid,Which construct is notably affected in men with prostate cancer that influences their quality of life?,Cardiovascular fitness,Bone health,Body image,Respiratory function,Body image,Y,Y,Y,Y,3,2
1020,Depression,Diagnostic,Which characteristic is more prevalent in suicidal adolescents diagnosed with borderline personality disorder compared to those without?,Shorter duration of suicidal ideation,Lower levels of impulsivity,Less co-morbidity,Higher aggression scores,Higher aggression scores,Y,Y,Y,Y,4,1
1021,Depression,Factoid,What is the main effect of the BDNF Val(66)Met polymorphism on white matter microstructure in healthy adults?,Decreased fractional anisotropy and increased radial diffusivity,No effect on white matter structure,Increased gray matter density,Enhanced cognitive function,Decreased fractional anisotropy and increased radial diffusivity,Y,Y,Y,Y,1,2
1022,Anxiety,Preventive,Which channels are targeted by potential anxiolytic agents to help alleviate anxiety disorders?,Calcium and potassium channels,Dopamine and norepinephrine receptors,TRPV and ASIC channels,GABA and serotonin receptors,GABA and Serotonin receptors,GABA and Serotonin receptors,"Ans- GABA and serotonin receptors
",GABA and Serotonin receptors,GABA and Serotonin receptors,4,4
1023,Depression,Diagnostic,What coping strategy was significantly linked to increased depression among younger men who have sex with men (MSM) in the context of stress?,Adaptive coping,Avoidant coping,Cognitive reappraisal,Expressive suppression,Avoidant coping,Y,Y,Y,Y,2,2
1024,Depression,Factoid,"In patients with atrial fibrillation, which scale showed significantly higher scores indicating a greater risk of depression?",Mini Mental State Examination,Patient Health Questionnaire,Geriatric Depression Scale,Hamilton Depression Rating Scale,Geriatric Depression Scale,Y,Y,Y,Y,3,2
