id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number,predictions
33605193,Anxiety,Diagnostic,What parental characteristic is identified as having a negative relation with young rugby players' sport performance worry?,Parental strictness,Parental responsiveness,Parental absenteeism,Parental financial support,Parental responsiveness,2,1.0
27621227,Anxiety,Diagnostic,Which behavior is characterized as excessive in Zfp462 heterozygous knockout mice that suggests a model for anxiety disorders?,Impulsivity,Excessive self-grooming,Hyperactivity,Aggression,Excessive self-grooming,2,2.0
35466907,Anxiety,Preventive,What intervention strategy can potentially reduce parenting stress for parents of children with eczema or psoriasis?,Cognitive-behavioral therapy,Mindful parenting intervention,Group therapy sessions,Medication management,Mindful parenting intervention,2,2.0
36276984,Anxiety,Factoid,Which neurobehavioral feature has been identified as common in individuals with Kabuki syndrome?,Depression,Attention deficit disorder,Anxiety,Bipolar disorder,Anxiety,3,2.0
36483331,Anxiety,Factoid,What demographic factor is significantly associated with higher levels of anxiety among college students during the COVID-19 pandemic?,Higher Grade,Female,Lower Income,Older Age,Female,2,2.0
35377557,Anxiety,Preventive,Which therapeutic approach is recommended to improve common mental health problems effectively?,Transdiagnostic cognitive behavioral therapy,Interpersonal therapy,Psychoanalysis,Medication management,Transdiagnostic cognitive behavioral therapy,1,1.0
22914076,Anxiety,Diagnostic,How do postpubertal housing conditions affect anxiety-like behaviors in female mandarin voles?,Reduce aggression,Improve social interactions,Increase anxiety levels,Decrease locomotion,Increase anxiety levels,3,2.0
34433988,Anxiety,Preventive,What approach can be utilized to effectively treat patients with both anxiety disorders and comorbid depressive disorders?,Transdiagnostic cognitive-behavioral strategies,Medication-based interventions,Psychoeducation alone,Single-diagnosis cognitive-behavioral therapy,Transdiagnostic cognitive-behavioral strategies,1,1.0
22024161,Anxiety,Preventive,What substance has been shown to reverse increases in anxiety-like behavior following acute stress in adolescent rats?,Ethanol,Nicotine,Serotonin,Caffeine,Ethanol,1,3.0
22230806,Anxiety,Diagnostic,What type of early life stress has been shown to lead to an anxious/depressive phenotype in rats?,Social isolation,Chronic pain,Food deprivation,Prenatal restraint stress,Prenatal restraint stress,4,4.0
22775580,Anxiety,Factoid,"In comparison to clinically anxious children without autism spectrum disorders, which type of anxiety disorder was reported to be more prevalent in children with high-functioning autism?",Panic disorder,Specific phobias,Generalized anxiety disorder,Social anxiety disorder,Specific phobias,2,4.0
21769772,Anxiety,Factoid,Which selective serotonin reuptake inhibitor is noted to be effective in treating social anxiety disorder in a patient with pervasive developmental disorder?,Paroxetine,Escitalopram,Fluvoxamine,Sertraline,Fluvoxamine,3,1.0
32510786,Anxiety,Preventive,What role do early anxiety symptoms play in the long-term clinical outcomes of individuals experiencing first-episode psychosis?,Aid in early diagnosis,Promote remission,Worsen clinical status,Predict better functioning,Predict better functioning,4,1.0
23047429,Anxiety,Prognostic,How might poor sleep quality influence anxious reactivity in individuals with a history of PTSD?,It only affects those without PTSD,It increases anxious responses to trauma cues,It has no effect on anxious responses,It decreases overall anxiety,It increases anxious responses to trauma cues,2,2.0
23161356,Anxiety,Preventive,What psychological condition is associated with unexpected explicit recall during general anaesthesia?,Anxiety,Post-traumatic stress disorder,Depression,Obsessive-compulsive disorder,Post-traumatic stress disorder,2,2.0
27624433,Trauma,Diagnostic,Which risk factors are significant for differentiating between suicide completers and attempters?,Family income status,Gender,Negative life events,Education level,Gender,2,3.0
29475102,Anxiety,Preventive,Which factor is identified as an independent risk factor for the current prescription of benzodiazepines in patients with anxiety disorders?,Duration of psychiatric treatment,Age at onset of anxiety,Employment status,Number of anxiety disorders,Duration of psychiatric treatment,1,2.0
33584448,Anxiety,Prognostic,How might the practice of sports in different environments during confinement impact athletes' psychological adaptation?,Increases somatic symptoms,Accelerates adaptation to confinement,Promotes social interaction,Enhances physical strength,Accelerates adaptation to confinement,2,3.0
28199857,Anxiety,Diagnostic,What mediator is suggested to link socioeconomic status with parental anxiety symptoms?,Childrenâ€™s behavior issues,Educational outcomes,Hair cortisol concentrations,Biological markers of stress,Hair cortisol concentrations,3,3.0
22166852,Anxiety,Prognostic,Which psychological factor was identified as a predictor of the placebo response in learned immunosuppression?,Coping Strategies,State Anxiety Levels,Cognitive Dissonance,Depression Scores,State Anxiety Levels,2,3.0
22310824,Anxiety,Preventive,What strategies could help mitigate the impact of depression on the HIV prevention efforts among men who have sex with men (MSM)?,Promoting HIV-related stigma,Implementing traditional risk reduction counseling,Increasing awareness of cultural factors,Addressing co-occurring mental health issues,Addressing co-occurring mental health issues,4,3.0
23384445,Anxiety,Preventive,How might understanding the microbiota-gut-brain axis contribute to managing anxiety and depression?,By promoting healthy neural pathways,By eliminating all bacteria,By preventing stress-related behaviors,Through dietary supplements,By promoting healthy neural pathways,1,4.0
36168353,Anxiety,Preventive,Which lifestyle modification is emphasized as crucial for managing migraine triggers effectively?,Increased caffeine intake,Regular sleep pattern,Overexertion,High-sugar diet,Regular sleep pattern,2,1.0
22542533,Anxiety,Prognostic,What pre-treatment characteristic is suggested to predict better treatment outcomes in anxious children receiving cognitive-behavioral therapy?,Age of the child,Previous therapy experience,Understanding of anxiety disorders,Attention bias towards threat,Attention bias towards threat,4,4.0
22213434,Anxiety,Prognostic,What role do cytokines potentially play in anxiety disorders based on neuroimmunological research?,Increasing serotonin levels,Enhancing cognitive behavioral therapy,Reducing inflammation,Modulating neuronal communication,Modulating neuronal communication,4,3.0
35588989,Anxiety,Preventive,What strategies could be employed to mitigate the cognitive and emotional effects of gut microbiota depletion induced by antibiotic exposure during critical life stages?,Increased physical exercise,Promoting a balanced diet,Minimizing antibiotic use in certain life stages,Enhanced social interactions,Minimizing antibiotic use in certain life stages,3,2.0
21104460,Anxiety,Prognostic,How does high trait anxiety influence the persistence of biliary symptoms following gallbladder surgery?,Reduces the likelihood of symptoms persisting,Has no effect on symptom persistence,Only affects those under 30 years old,Increases the likelihood of symptoms persisting,Increases the likelihood of symptoms persisting,4,1.0
34197135,Anxiety,Preventive,Which interventions could potentially reduce anxiety symptoms in individuals with cannabis use disorder?,Increased cannabis use,Physical therapy,Abstinence from all drugs,Risk reduction in cannabis use,Risk reduction in cannabis use,4,3.0
33211072,Anxiety,Preventive,Which intervention type has shown effectiveness in alleviating anxiety related to breathlessness in advanced cancer patients?,Behavioral and psychoeducational,Chemotherapy,Pharmacological treatment,Nutritional support,Behavioral and psychoeducational,1,1.0
35398106,Anxiety,Preventive,What intervention could increase the use of professional mental health services among individuals experiencing suicidal ideation?,Providing financial incentives,Development of online resources,Enhancing coping skills,Support for safe disclosure,Support for safe disclosure,4,4.0
33552323,Anxiety,Preventive,"Which therapeutic approach aims to reduce stress, anxiety, and depression among parents of infants in the neonatal intensive care unit?",Pharmacological support,Acceptance and Commitment Therapy,Group therapy sessions,Cognitive Behavioral Therapy,Acceptance and Commitment Therapy,2,3.0
19115433,Anxiety,Preventive,What strategies could be employed to mitigate anxiety levels in individuals experiencing auditory hallucinations?,Pharmacological Interventions,Compassionate Mind Training,Mindfulness Meditation,Cognitive Behavioral Therapy,Compassionate Mind Training,2,2.0
21978521,Anxiety,Prognostic,What potential outcome is associated with the disruption of cholinergic signaling due to p75(NTR) deletion in stress and anxiety response?,Decreased episodic memory,Increased baseline anxiety levels,Reduced appetite,Enhanced social behavior,Increased baseline anxiety levels,2,2.0
33752581,Anxiety,Diagnostic,What factor may contribute to the worsening of anxiety symptoms in client-clinician relationships?,Unrealistic client expectations,Inadequate therapy duration,Differences in subjective social status perceptions,Lack of therapist experience,Differences in subjective social status perceptions,3,1.0
